ASN,Organization
12361,VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
12365,Sarkor Telecom
12372,Cubic Telecom Limited
12380,PJSC Rostelecom
12389,Rostelecom
12392,Brutele SC / Voo
12444,TELNET TELEKOM HIZMETLERI ANONIM SIRKETI
12455,Telkom Kenya
12479,Orange Spain
12486,TeleYemen
12491,Gilat Telecom
12494,OOO 'Post ltd'
12616,Citytelecom LLC
12668,MiraLogic Telecommunication Systems
12683,PJSC Rostelecom
12688,Joint Stock Company TransTeleCom
12693,e.discom Telekommunikation GmbH
12730,PJSC Rostelecom
12762,VTG
12768,JSC 'ER-Telecom Holding'
12772,JSC 'ER-Telecom Holding'
12777,Eser Telekom Sanayi ve Ticaret A.S.
12796,Telecommunication Company Varna
12843,TelemaxX
12844,Bouygues Telecom
12846,PJSC Rostelecom
12861,Vestel Elektronik Sanayi ve Ticaret A.S.
12874,Fastweb
12880,TIC AS12880
12886,LEW TelNet
12912,T-Mobile Polska
12926,AR Telecom
12929,Telia Norge (mobile)
12946,R Cable y Telecable Telecomunicaciones S.A.U.
12956,Telxius Cable
12958,T2 Russia Network
12975,Palestinian Telecommunications
12997,Kyrgyztelecom
13022,Streams Telecommunicationsservices GmbH
13036,T-Mobile CZ AS13036
13046,ISKON INTERNET
13056,PJSC Rostelecom
13099,'AZ-EVRO TEL' LLC
13118,PJSC Rostelecom
13122,Manx Telecom
13126,Satellite Mediaport Services Ltd.
13156,Cabovisao televisao por cabovisao sa
13357,Irati Telecomunicações Ltda.
13370,LocalTel Communications
13489,TigoUne
13585,PowerVT SA
14080,Telmex Colombia
14117,Telefonica del Sur
14155,Rural Telephone Service Co
14178,Megacable Comunicaciones de Mexico
14232,Telpin - Cooperativa Telefonica Pinamar Ltda.
14265,TelePacific Communications
14282,PERSIS TELECOM
14288,Smart City Telecom AS14288
14703,MARQUETTE-ADAMS TELEPHONE COOPERATIVE INC.
14750,Sierra Tel Internet
14754,Telgua
14813,BB-COLUMBUS
14860,Smartcom Telephone
14868,Ligga Telecomunicações S.A.
14988,Botswana Telecommunications Corporation
15129,Geneseo Communications Services
15165,Mutual Telephone Company
15311,Telefonica Empresas Network
15321,Groupe Maskatel
15378,T2 North-West
15389,Telefonverkid
15397,TelenorMontenegro
15433,Telecom Italia San Marino
15466,Defensie Telematica Organisatie
15468,PJSC Rostelecom
15557,SFR Group
15598,NorthC Germany
15659,NextGenTel
15672,OOO Telecom TZ
15673,Teleseti Plus
15706,Sudatel Telecom Group
